,year,state,month,number
0,1998,Acre,January,0.0
1,1999,Acre,January,0.0
2,2000,Acre,January,0.0
3,2001,Acre,January,0.0
4,2002,Acre,January,0.0
5,2003,Acre,January,10.0
6,2004,Acre,January,0.0
7,2005,Acre,January,12.0
8,2006,Acre,January,4.0
9,2007,Acre,January,0.0
10,2008,Acre,January,0.0
11,2009,Acre,January,0.0
12,2010,Acre,January,1.0
13,2011,Acre,January,0.0
14,2012,Acre,January,0.0
15,2013,Acre,January,0.0
16,2014,Acre,January,0.0
17,2015,Acre,January,1.0
18,2016,Acre,January,12.0
19,2017,Acre,January,0.0
20,1998,Acre,February,0.0
21,1999,Acre,February,0.0
22,2000,Acre,February,0.0
23,2001,Acre,February,0.0
24,2002,Acre,February,1.0
25,2003,Acre,February,0.0
26,2004,Acre,February,3.0
27,2005,Acre,February,0.0
28,2006,Acre,February,0.0
29,2007,Acre,February,5.0
30,2008,Acre,February,0.0
31,2009,Acre,February,2.0
32,2010,Acre,February,0.0
33,2011,Acre,February,0.0
34,2012,Acre,February,0.0
35,2013,Acre,February,0.0
36,2014,Acre,February,0.0
37,2015,Acre,February,2.0
38,2016,Acre,February,5.0
39,2017,Acre,February,1.0
40,1998,Acre,March,0.0
41,1999,Acre,March,0.0
42,2000,Acre,March,11.0
43,2001,Acre,March,0.0
44,2002,Acre,March,0.0
45,2003,Acre,March,0.0
46,2004,Acre,March,0.0
47,2005,Acre,March,3.0
48,2006,Acre,March,0.0
49,2007,Acre,March,2.0
50,2008,Acre,March,0.0
51,2009,Acre,March,1.0
52,2010,Acre,March,0.0
53,2011,Acre,March,0.0
54,2012,Acre,March,1.0
55,2013,Acre,March,2.0
56,2014,Acre,March,1.0
57,2015,Acre,March,2.0
58,2016,Acre,March,0.0
59,2017,Acre,March,0.0
60,1998,Acre,April,0.0
61,1999,Acre,April,0.0
62,2000,Acre,April,1.0
63,2001,Acre,April,0.0
64,2002,Acre,April,0.0
65,2003,Acre,April,1.0
66,2004,Acre,April,2.0
67,2005,Acre,April,1.0
68,2006,Acre,April,0.0
69,2007,Acre,April,0.0
70,2008,Acre,April,0.0
71,2009,Acre,April,0.0
72,2010,Acre,April,3.0
73,2011,Acre,April,2.0
74,2012,Acre,April,1.0
75,2013,Acre,April,19.0
76,2014,Acre,April,7.0
77,2015,Acre,April,3.0
78,2016,Acre,April,0.0
79,2017,Acre,April,1.0
80,1998,Acre,May,0.0
81,1999,Acre,May,0.0
82,2000,Acre,May,1.0
83,2001,Acre,May,0.0
84,2002,Acre,May,0.0
85,2003,Acre,May,6.0
86,2004,Acre,May,7.0
87,2005,Acre,May,2.0
88,2006,Acre,May,8.0
89,2007,Acre,May,1.0
90,2008,Acre,May,0.0
91,2009,Acre,May,3.0
92,2010,Acre,May,9.0
93,2011,Acre,May,3.0
94,2012,Acre,May,3.0
95,2013,Acre,May,4.0
96,2014,Acre,May,1.0
97,2015,Acre,May,2.0
98,2016,Acre,May,21.0
99,2017,Acre,May,10.0
100,1998,Acre,June,3.0
101,1999,Acre,June,0.0
102,2000,Acre,June,1.0
103,2001,Acre,June,1.0
104,2002,Acre,June,0.0
105,2003,Acre,June,0.0
106,2004,Acre,June,5.0
107,2005,Acre,June,27.0
108,2006,Acre,June,1.0
109,2007,Acre,June,4.0
110,2008,Acre,June,0.0
111,2009,Acre,June,0.0
112,2010,Acre,June,1.0
113,2011,Acre,June,10.0
114,2012,Acre,June,7.0
115,2013,Acre,June,8.0
116,2014,Acre,June,17.0
117,2015,Acre,June,40.0
118,2016,Acre,June,87.0
119,2017,Acre,June,45.0
120,1998,Acre,July,37.0
121,1999,Acre,July,1.0
122,2000,Acre,July,1.0
123,2001,Acre,July,3.0
124,2002,Acre,July,39.0
125,2003,Acre,July,168.0
126,2004,Acre,July,42.0
127,2005,Acre,July,368.0
128,2006,Acre,July,33.0
129,2007,Acre,July,29.0
130,2008,Acre,July,41.0
131,2009,Acre,July,31.0
132,2010,Acre,July,126.0
133,2011,Acre,July,93.0
134,2012,Acre,July,71.0
135,2013,Acre,July,54.0
136,2014,Acre,July,60.0
137,2015,Acre,July,109.0
138,2016,Acre,July,533.0
139,2017,Acre,July,457.0
140,1998,Acre,August,130.0
141,1999,Acre,August,63.0
142,2000,Acre,August,136.0
143,2001,Acre,August,396.0
144,2002,Acre,August,728.0
145,2003,Acre,August,1976.0
146,2004,Acre,August,645.0
147,2005,Acre,August,4198.0
148,2006,Acre,August,839.0
149,2007,Acre,August,960.0
150,2008,Acre,August,445.0
151,2009,Acre,August,194.0
152,2010,Acre,August,1682.0
153,2011,Acre,August,425.0
154,2012,Acre,August,739.0
155,2013,Acre,August,679.0
156,2014,Acre,August,1100.0
157,2015,Acre,August,1397.0
158,2016,Acre,August,2188.0
159,2017,Acre,August,1493.0
160,1998,Acre,September,509.0
161,1999,Acre,September,209.0
162,2000,Acre,September,265.0
163,2001,Acre,September,290.0
164,2002,Acre,September,1949.0
165,2003,Acre,September,3942.0
166,2004,Acre,September,1978.0
167,2005,Acre,September,4253.0
168,2006,Acre,September,2370.0
169,2007,Acre,September,2080.0
170,2008,Acre,September,1666.0
171,2009,Acre,September,1265.0
172,2010,Acre,September,2531.0
173,2011,Acre,September,1204.0
174,2012,Acre,September,1996.0
175,2013,Acre,September,2136.0
176,2014,Acre,September,2175.0
